TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD,dt,NCycles,NAttemptedDivs,NFailedDivs,NDeaths,ReplicateId,InitSize,RFrac,TxName,Cost
59.0,59.0,2054.0,273.0,2327.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
60.0,60.0,2019.0,274.0,2293.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
61.0,61.0,1988.0,277.0,2265.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
62.0,62.0,1956.0,276.0,2232.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
63.0,63.0,1938.0,275.0,2213.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
64.0,64.0,1886.0,280.0,2166.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,5.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
65.0,65.0,1850.0,280.0,2130.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
66.0,66.0,1817.0,282.0,2099.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,5.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
67.0,67.0,1777.0,285.0,2062.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
68.0,68.0,1742.0,287.0,2029.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
69.0,69.0,1720.0,288.0,2008.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
70.0,70.0,1687.0,288.0,1975.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
71.0,71.0,1652.0,288.0,1940.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
72.0,72.0,1615.0,286.0,1901.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
73.0,73.0,1588.0,288.0,1876.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
74.0,74.0,1569.0,287.0,1856.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
75.0,75.0,1554.0,287.0,1841.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
76.0,76.0,1535.0,287.0,1822.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
77.0,77.0,1499.0,285.0,1784.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,0.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
78.0,78.0,1463.0,281.0,1744.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,5.0,1.0,0.59,0.037,0.0,0.682131205917486
79.0,79.0,1441.0,280.0,1721.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
80.0,80.0,1418.0,285.0,1703.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,5.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
81.0,81.0,1392.0,282.0,1674.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,4.0,0.0,7.0,1.0,0.59,0.037,0.0,0.682131205917486
82.0,82.0,1376.0,288.0,1664.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,7.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
83.0,83.0,1354.0,290.0,1644.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
84.0,84.0,1324.0,293.0,1617.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
85.0,85.0,1301.0,293.0,1594.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
86.0,86.0,1267.0,295.0,1562.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
87.0,87.0,1250.0,296.0,1546.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,1.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
88.0,88.0,1217.0,295.0,1512.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,2.0,0.0,3.0,1.0,0.59,0.037,0.0,0.682131205917486
89.0,89.0,1192.0,297.0,1489.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,1.0,1.0,0.59,0.037,0.0,0.682131205917486
90.0,90.0,1176.0,298.0,1474.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,2.0,1.0,0.59,0.037,0.0,0.682131205917486
91.0,91.0,1152.0,301.0,1453.0,1.0,0.027,0.008582457440227878,0.0,0.0,0.004989618836634077,0.004989618836634077,0.75,1.0,0.0,3.0,0.0,0.0,1.0,0.59,0.037,0.0,0.682131205917486
